serial_num,subject_code,course_type,lab_or_lecture,department,branch,batch,faculty_code,floor,room_num,day,start_time,end_time,year,duration
1,NLP,PE,lecture,all,all,NA,RK,6,601,monday,9:00,11:00,TE,
2,BAP,PE,lab,all,all,F,SC,4,410B,monday,9:00,11:00,TE,
3,EH,PE,lab,all,all,B,RP,4,406A,monday,9:00,11:00,TE,
4,BCT,PE,lab,all,all,C-PE,DDA,4,404,monday,9:00,11:00,TE,
5,DC,PC,lecture,CSE,DS,all,SBG,4,407,monday,11:15,12:15,TE,
6,ML,PC,lecture,CSE,DS,all,SJK,4,407,monday,12:15,1:15,TE,
7,BAP,PE,lab,all,all,A,SC,6,606B,monday,2:00,4:00,TE,
8,EH,PE,lab,all,all,A,RP,4,406A,monday,2:00,4:00,TE,
9,DSA,OE,lab,all,all,B,VH,4,408,monday,2:00,4:00,TE,
10,CC,OE,lab,all,all,C,VB,4,406B,monday,2:00,4:00,TE,
11,CSDF,OE,lab,all,all,S,DCK,3,308,monday,2:00,4:00,TE,
12,DA,OE,lab,all,all,B,RS,6,606A,monday,2:00,4:00,TE,
13,UED,OE,lab,all,all,C,VK,6,608,monday,2:00,4:00,TE,
14,BCT,OE,lab,all,all,C-OE,SYC,4,410A,monday,2:00,4:00,TE,
15,BDA,PE,lecture,all,all,NA,AH,2,203,tuesday,9:00,11:00,TE,
16,BAP,PE,lab,all,all,H,SC,7,702,tuesday,9:00,11:00,TE,
17,BCT,PE,lab,all,all,E-PE,SYC,4,410A,tuesday,9:00,11:00,TE,
18,EH,PE,lab,all,all,D,RP,4,406A,tuesday,9:00,11:00,TE,
19,BCT,OE,lab,all,all,F-OE,DDA,4,404,tuesday,9:00,11:00,TE,
20,NLP,PE,lab,all,all,B,RK,6,608,tuesday,9:00,11:00,TE,
21,ML,PC,lab,CSE,DS,C,SD,,406A,tuesday,11:15,12:15,TE,
22,ML,PC,lab,CSE,DS,D,SD,,406B,tuesday,12:15,1:15,TE,
